epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.1755,4.2691,5.2503,4.15515,0,0,0,0,4.75776,4.62163,4.25706,0.000271759,0.000271759,0.000271759
2,73.911,3.47011,3.84999,3.51703,0.00441,0.20283,0.01757,0.00747,3.34205,4.07628,3.21312,0.000543986,0.000543986,0.000543986
3,90.2978,2.89425,3.07577,2.94416,0.67256,0.32578,0.37425,0.16535,2.58339,2.48914,2.69591,0.000810716,0.000810716,0.000810716
4,106.51,2.60913,2.67169,2.64284,0.74296,0.41803,0.45901,0.20993,2.28823,2.27244,2.45357,0.00080826,0.00080826,0.00080826
5,122.902,2.36742,2.3312,2.41523,0.75492,0.35141,0.43468,0.20275,2.097,2.36872,2.27238,0.000800013,0.000800013,0.000800013
6,138.965,2.1697,2.11801,2.25104,0.73354,0.52608,0.51108,0.27327,1.94034,2.00848,2.16019,0.000791767,0.000791767,0.000791767
7,155.26,2.05283,1.9528,2.11246,0.64096,0.54177,0.53465,0.29586,1.80672,1.76063,2.07587,0.00078352,0.00078352,0.00078352
8,171.587,1.91159,1.80509,1.98718,0.59018,0.60872,0.57664,0.34915,1.69163,1.69996,1.93248,0.000775273,0.000775273,0.000775273
9,187.847,1.81038,1.64348,1.87852,0.70182,0.62949,0.60882,0.38821,1.51424,1.46884,1.81173,0.000767026,0.000767026,0.000767026
10,203.929,1.71198,1.5718,1.80245,0.63129,0.63835,0.6177,0.41238,1.42662,1.48016,1.74203,0.00075878,0.00075878,0.00075878
11,220.199,1.63217,1.48956,1.71164,0.77384,0.63018,0.62752,0.39345,1.40783,1.38117,1.69382,0.000750533,0.000750533,0.000750533
12,236.25,1.56864,1.42388,1.65336,0.62531,0.70532,0.65649,0.43262,1.34259,1.33788,1.61702,0.000742286,0.000742286,0.000742286
13,252.546,1.51886,1.38107,1.615,0.70719,0.72412,0.69495,0.44501,1.34082,1.32057,1.58991,0.00073404,0.00073404,0.00073404
14,268.755,1.47974,1.33772,1.57479,0.6731,0.7075,0.68594,0.45957,1.30663,1.25181,1.55892,0.000725793,0.000725793,0.000725793
