epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,629.245,0.68664,0.5682,1.00247,0.8441,0.86272,0.89515,0.72294,0.75878,0.53231,1.07727,0.000494885,0.000494885,0.000494885
43,643.592,0.68547,0.56832,1.01285,0.87859,0.80412,0.88632,0.72401,0.74974,0.5472,1.06533,0.000486639,0.000486639,0.000486639
44,657.951,0.66272,0.53776,0.9917,0.82012,0.88081,0.87818,0.7232,0.75225,0.52224,1.06021,0.000478392,0.000478392,0.000478392
45,672.205,0.67817,0.54741,0.99766,0.83659,0.85195,0.87994,0.71928,0.74858,0.51128,1.06481,0.000470145,0.000470145,0.000470145
46,686.291,0.67583,0.54619,1.00353,0.8766,0.86607,0.889,0.72706,0.73804,0.47405,1.04051,0.000461898,0.000461898,0.000461898
47,700.624,0.67778,0.54438,0.99178,0.84125,0.85806,0.88256,0.72244,0.75464,0.54046,1.05283,0.000453652,0.000453652,0.000453652
48,714.735,0.6565,0.52674,0.98769,0.87785,0.81284,0.8863,0.7228,0.77078,0.53235,1.06434,0.000445405,0.000445405,0.000445405
49,728.871,0.66364,0.5348,0.99622,0.82399,0.85523,0.87136,0.71043,0.77634,0.61492,1.12385,0.000437158,0.000437158,0.000437158
50,742.919,0.64266,0.52413,0.98198,0.83234,0.86072,0.88379,0.72256,0.73079,0.54108,1.07804,0.000428912,0.000428912,0.000428912
51,757.109,0.63992,0.51618,0.98342,0.82986,0.87692,0.883,0.71753,0.73231,0.52581,1.07788,0.000420665,0.000420665,0.000420665
52,771.279,0.64462,0.5137,0.98381,0.85561,0.8559,0.89644,0.72928,0.75499,0.51142,1.06625,0.000412418,0.000412418,0.000412418
53,785.601,0.63888,0.51428,0.97641,0.84968,0.87422,0.89253,0.72282,0.74267,0.51798,1.06365,0.000404172,0.000404172,0.000404172
54,799.759,0.63177,0.51822,0.97001,0.84907,0.88543,0.89694,0.73939,0.73712,0.50262,1.06807,0.000395925,0.000395925,0.000395925
55,813.986,0.63763,0.51029,0.98273,0.85993,0.85379,0.88877,0.73254,0.74355,0.50653,1.06565,0.000387678,0.000387678,0.000387678
56,828.12,0.62618,0.50356,0.96825,0.87547,0.84441,0.89188,0.73407,0.74952,0.50317,1.05874,0.000379431,0.000379431,0.000379431
57,842.326,0.62407,0.49683,0.97638,0.84654,0.86481,0.89787,0.74214,0.72197,0.5033,1.04172,0.000371185,0.000371185,0.000371185
58,856.629,0.63198,0.49858,0.97826,0.85117,0.85797,0.87581,0.7274,0.72237,0.54395,1.04809,0.000362938,0.000362938,0.000362938
59,870.836,0.60797,0.47269,0.96761,0.85579,0.85679,0.89346,0.74291,0.70427,0.49378,1.0502,0.000354691,0.000354691,0.000354691
60,885.06,0.59818,0.47842,0.96292,0.84817,0.88105,0.88778,0.74267,0.71976,0.47829,1.06925,0.000346445,0.000346445,0.000346445
61,899.228,0.61104,0.49018,0.97037,0.84349,0.86331,0.89391,0.73983,0.72683,0.49048,1.06104,0.000338198,0.000338198,0.000338198
62,913.411,0.59963,0.47622,0.9592,0.8438,0.85089,0.89069,0.73688,0.73933,0.50413,1.05276,0.000329951,0.000329951,0.000329951
63,927.743,0.58154,0.45762,0.95221,0.84347,0.87708,0.89923,0.74972,0.70826,0.49904,1.04652,0.000321705,0.000321705,0.000321705
64,942.019,0.58245,0.45568,0.96222,0.87485,0.85731,0.89304,0.74345,0.73656,0.4845,1.06666,0.000313458,0.000313458,0.000313458
65,956.142,0.58337,0.45838,0.95551,0.8418,0.87866,0.89734,0.75001,0.71538,0.47591,1.04812,0.000305211,0.000305211,0.000305211
66,970.461,0.57445,0.43775,0.95115,0.80396,0.89367,0.89426,0.75267,0.70989,0.49605,1.04133,0.000296964,0.000296964,0.000296964
67,984.843,0.56901,0.45118,0.95145,0.86608,0.87001,0.90065,0.75096,0.70833,0.47862,1.0413,0.000288718,0.000288718,0.000288718
68,998.934,0.56962,0.44879,0.94867,0.86365,0.88233,0.90698,0.75951,0.6943,0.46715,1.03834,0.000280471,0.000280471,0.000280471
69,1013.27,0.58714,0.4621,0.95421,0.85969,0.88105,0.89331,0.74417,0.72281,0.46576,1.05337,0.000272224,0.000272224,0.000272224
70,1027.4,0.56242,0.44306,0.9445,0.84303,0.85722,0.88411,0.73872,0.70896,0.49755,1.04372,0.000263978,0.000263978,0.000263978
